City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Butaritari,3.07,172.79,83.39,73,23,8.81,KI,1587338860
Tilichiki,60.47,166.1,16.95,90,91,16.53,RU,1587338596
Malbork,54.04,19.03,34.0,100,0,5.26,PL,1587338882
Urengoy,65.97,78.37,34.32,97,100,8.7,RU,1587338882
Thompson,55.74,-97.86,23.0,79,90,10.29,CA,1587338770
Hambantota,6.12,81.12,81.68,82,76,9.46,LK,1587338854
Bentiu,9.23,29.83,80.69,16,88,2.53,SS,1587338883
Hofn,64.25,-15.21,44.04,84,99,8.34,IS,1587338884
Santo Antônio do Içá,-3.1,-67.94,75.16,93,100,1.28,BR,1587338884
Manokwari,-0.87,134.08,84.11,68,32,1.68,ID,1587338884
Tateyama,34.98,139.87,51.8,87,75,6.93,JP,1587338885
Pisco,-13.7,-76.22,71.6,73,0,17.22,PE,1587338768
Vila Franca do Campo,37.72,-25.43,55.4,62,20,8.05,PT,1587338886
Gigmoto,13.78,124.39,81.79,78,100,8.75,PH,1587338886
Peleduy,59.63,112.74,22.41,90,65,3.4,RU,1587338886
Mehamn,71.04,27.85,37.4,93,75,19.46,NO,1587338886
Geraldton,-28.77,114.6,55.4,87,0,11.41,AU,1587338887
Quatre Cocos,-20.21,57.76,75.2,88,40,11.41,MU,1587338887
Hilo,19.73,-155.09,82.4,51,1,12.75,US,1587338607
Broome,42.25,-75.83,55.4,43,75,11.41,US,1587338817
Avarua,-21.21,-159.78,82.4,69,2,12.75,CK,1587338850
Khandyga,62.67,135.6,12.83,86,0,4.03,RU,1587338888
Guerrero Negro,27.98,-114.06,64.09,68,93,21.43,MX,1587338888
Perelyub,51.87,50.37,42.44,66,99,2.64,RU,1587338888
Kumul,42.8,93.45,57.22,21,98,6.22,CN,1587338888
Hong Kong,22.29,114.16,77.0,83,85,4.25,HK,1587338709
Provideniya,64.38,-173.3,22.44,95,100,14.94,RU,1587338846
San Miguel,13.48,-88.18,85.12,56,1,6.98,SV,1587338676
Necochea,-38.55,-58.74,57.99,94,61,1.01,AR,1587338889
Ol'ga,43.74,135.29,39.79,89,100,11.77,RU,1587338890
Luangwa,-15.62,30.42,74.95,54,77,5.95,ZM,1587338890
Omemee,44.3,-78.56,45.0,70,40,20.8,CA,1587338890
Isangel,-19.55,169.27,82.4,83,75,5.82,VU,1587338890
Lagoa,39.05,-27.98,56.55,63,23,17.36,PT,1587338795
Lorengau,-2.02,147.27,84.47,75,46,7.65,PG,1587338799
Viedma,-40.81,-63.0,60.04,43,69,9.91,AR,1587338809
Cherskiy,68.75,161.3,9.03,93,100,7.92,RU,1587338607
Hue,16.47,107.6,77.0,94,20,2.24,VN,1587338892
Yerofey Pavlovich,53.97,121.97,20.43,73,68,14.79,RU,1587338892
Kavaratti,10.57,72.64,85.08,69,42,5.19,IN,1587338892
Rawson,-43.3,-65.1,62.82,31,94,16.26,AR,1587338893
Klaksvík,62.23,-6.59,42.8,87,1,11.41,FO,1587338893
Mount Gambier,-37.83,140.77,59.0,67,40,18.34,AU,1587338893
Xinyu,27.8,114.93,63.84,78,17,4.23,CN,1587338893
Bartica,6.4,-58.62,75.2,94,75,4.7,GY,1587338894
Zhigansk,66.77,123.37,17.51,93,100,8.59,RU,1587338894
Sørland,67.67,12.69,40.82,94,100,19.01,NO,1587338894
Amiens,49.9,2.3,53.6,81,20,13.87,FR,1587338895
North Platte,41.12,-100.77,64.4,34,1,8.05,US,1587338895
Alofi,-19.06,-169.92,86.0,70,33,13.87,NU,1587338822
Taoudenni,22.68,-3.98,77.97,21,0,6.42,ML,1587338895
Jumla,29.27,82.18,44.67,31,97,4.59,NP,1587338896
Longyearbyen,78.22,15.64,28.4,86,90,33.33,SJ,1587338767
Upernavik,72.79,-56.15,26.91,84,94,26.26,GL,1587338830
Mount Isa,-20.73,139.5,78.8,26,75,3.36,AU,1587338600
Nyurba,63.28,118.33,20.48,93,87,4.81,RU,1587338897
Toamasina,-18.17,49.38,74.59,88,93,12.21,MG,1587338897
Tolaga Bay,-38.37,178.3,67.62,62,98,2.71,NZ,1587338897
Merauke,-8.47,140.33,85.15,73,50,10.16,ID,1587338898
Pevek,69.7,170.31,9.91,94,100,6.98,RU,1587338898
La Romana,18.43,-68.97,80.6,83,20,9.17,DO,1587338898
Torbay,47.67,-52.73,36.0,92,90,23.04,CA,1587338898
Te Anau,-45.42,167.72,51.75,57,58,7.76,NZ,1587338840
Saint-Pierre,-21.34,55.48,73.4,73,75,6.93,RE,1587338899
Zorritos,-3.68,-80.68,77.52,77,37,9.17,PE,1587338899
Puerto Ayora,-0.74,-90.35,84.2,70,75,18.34,EC,1587338899
Ponta Delgada,37.73,-25.67,55.4,62,20,8.05,PT,1587338618
Rio Largo,-9.48,-35.85,75.2,94,75,3.36,BR,1587338900
Agüimes,27.91,-15.45,66.2,63,20,14.99,ES,1587338900
Pangnirtung,66.15,-65.71,-1.23,85,36,4.12,CA,1587338900
Dongsheng,39.82,109.98,31.32,36,0,20.2,CN,1587338901
Bethel,41.37,-73.41,57.2,35,1,10.29,US,1587338901
Norman Wells,65.28,-126.83,28.4,68,90,6.93,CA,1587338901
Nuuk,64.18,-51.72,30.2,63,73,34.45,GL,1587338867
Oriximiná,-1.77,-55.87,74.26,93,100,0.36,BR,1587338607
Bowen,-20.02,148.23,86.0,88,25,1.12,AU,1587338902
Gijang,35.24,129.21,55.4,76,20,5.82,KR,1587338903
Cidreira,-30.18,-50.21,68.07,85,0,16.93,BR,1587338903
Rocha,-34.48,-54.33,61.99,81,13,5.77,UY,1587338903
Saldanha,-33.01,17.94,59.0,82,31,12.75,ZA,1587338904
Avera,33.19,-82.53,57.2,94,90,5.82,US,1587338904
Bengkulu,-3.8,102.27,78.13,83,84,4.12,ID,1587338792
Beringovskiy,63.05,179.32,20.41,96,100,18.28,RU,1587338650
Sabha,27.04,14.43,80.24,14,8,19.75,LY,1587338905
Upington,-28.45,21.26,77.0,41,36,9.17,ZA,1587338905
Mayo,38.89,-76.51,61.0,62,1,11.41,US,1587338905
Kon Tum,14.35,108.0,75.29,70,100,1.5,VN,1587338905
Dikson,73.51,80.55,34.48,89,90,22.77,RU,1587338906
Puerto Escondido,15.85,-97.07,86.0,79,5,6.93,MX,1587338906
Tomatlán,19.93,-105.25,82.27,52,9,10.16,MX,1587338906
Muros,42.78,-9.06,53.01,91,62,1.19,ES,1587338906
San Policarpo,12.18,125.51,82.33,83,95,13.11,PH,1587338907
Conceição do Araguaia,-8.26,-49.26,80.6,78,53,3.36,BR,1587338907
Katsuura,35.13,140.3,51.8,87,75,6.93,JP,1587338907
Banda Aceh,5.56,95.32,79.68,81,66,4.85,ID,1587338907
Whitianga,-36.83,175.7,69.01,91,96,1.01,NZ,1587338877
Hasaki,35.73,140.83,48.2,93,75,6.93,JP,1587338908
Davila,18.47,120.58,80.6,83,75,2.24,PH,1587338908
Ketchikan,55.34,-131.65,51.8,81,75,12.75,US,1587338908
Misratah,32.38,15.09,67.24,58,100,22.84,LY,1587338909
Praia da Vitória,38.73,-27.07,57.2,62,20,18.77,PT,1587338909
Atasū,48.68,71.64,52.68,41,43,5.08,KZ,1587338909
Östersund,63.18,14.64,37.4,86,56,9.17,SE,1587338909
Meulaboh,4.14,96.13,78.84,83,51,3.85,ID,1587338813
Vestmannaeyjar,63.44,-20.27,46.08,93,100,28.1,IS,1587338910
Neiafu,-18.65,-173.98,84.2,70,40,9.17,TO,1587338910
Las Vegas,36.17,-115.14,80.6,14,1,13.87,US,1587338630
Sitka,57.05,-135.33,51.8,81,90,4.7,US,1587338820
Raja,8.46,25.68,73.22,20,70,4.85,SS,1587338841
Souillac,-20.52,57.52,75.2,88,40,11.41,MU,1587338911
Mujiayingzi,42.12,118.78,37.15,46,42,28.52,CN,1587338912
Marawi,8.0,124.29,77.86,62,61,0.72,PH,1587338912
Port Elizabeth,-33.92,25.57,71.6,46,29,12.75,ZA,1587338848
Seymchan,62.88,152.43,10.67,86,100,10.69,RU,1587338912
Narsaq,60.92,-46.05,28.4,58,0,4.7,GL,1587338912
Cayenne,4.93,-52.33,77.0,100,75,10.85,GF,1587338913
Guaratuba,-25.88,-48.57,64.0,83,40,1.28,BR,1587338913
Gizo Government Station,-8.1,156.84,84.88,71,97,2.53,SB,1587338638
Half Moon Bay,37.46,-122.43,66.99,48,20,13.87,US,1587338913
‘Āhuimanu,21.44,-157.84,84.2,51,20,11.41,US,1587338914
Buin,-33.73,-70.75,80.6,50,0,9.17,CL,1587338914
Nivala,63.92,24.97,35.01,86,39,5.99,FI,1587338914
Abu Dhabi,24.47,54.37,82.4,48,91,4.7,AE,1587338875
Tevaitoa,-16.78,-151.5,83.48,76,53,16.31,PF,1587338915
Lompoc,34.64,-120.46,62.6,63,1,12.75,US,1587338915
São João da Barra,-21.64,-41.05,71.65,77,71,6.73,BR,1587338618
Airai,-8.93,125.41,67.21,52,0,2.8,TL,1587338771
Barra do Garças,-15.89,-52.26,74.12,80,42,1.81,BR,1587338795
Ancud,-41.87,-73.82,50.0,81,40,5.82,CL,1587338665
Hervey Bay,-25.3,152.85,75.0,78,5,8.05,AU,1587338916
Porto-Novo,6.5,2.6,80.6,83,40,8.05,BJ,1587338834
Bagnes,46.08,7.22,57.2,76,99,2.24,CH,1587338917
Belaya Gora,68.53,146.42,10.67,91,85,9.17,RU,1587338917
Ust'-Omchug,61.15,149.63,3.58,80,70,8.61,RU,1587338917
Zheleznodorozhnyy,55.75,38.0,35.6,93,75,2.24,RU,1587338918
Panzhihua,26.59,101.71,66.6,32,0,1.66,CN,1587338918
Acapulco de Juárez,16.86,-99.89,84.2,74,5,6.93,MX,1587338918
Wani,20.07,78.95,85.51,40,49,5.3,IN,1587338918
Maiduguri,11.85,13.16,81.3,14,19,5.75,NG,1587338919
Bayjī,34.93,43.49,70.68,46,0,1.66,IQ,1587338919
Nortelândia,-14.45,-56.8,75.27,79,11,1.68,BR,1587338919
Dingle,11.0,122.67,83.32,76,89,12.44,PH,1587338920
Valparaíso,-33.04,-71.63,69.8,56,0,11.41,CL,1587338920
Dabat,12.98,37.77,60.22,15,98,1.48,ET,1587338920
Cabo San Lucas,22.89,-109.91,78.8,44,5,8.05,MX,1587338841
Sapa,5.15,120.32,84.15,75,73,8.46,PH,1587338921
Trairi,-3.28,-39.27,79.66,82,38,4.34,BR,1587338921
Novobirilyussy,56.95,90.67,35.76,68,3,11.16,RU,1587338922
Kalmunai,7.42,81.82,81.91,79,65,5.12,LK,1587338641
La Ronge,55.1,-105.28,41.0,35,75,18.34,CA,1587338922
Steamboat Springs,40.48,-106.83,46.0,52,1,3.36,US,1587338922
Örnsköldsvik,63.29,18.72,42.8,60,19,10.29,SE,1587338923
Esperance,-33.87,121.9,51.8,87,0,8.05,AU,1587338633
Canutama,-6.53,-64.38,76.21,91,96,0.85,BR,1587338923
Burns Lake,54.23,-125.75,62.29,37,0,7.92,CA,1587338924
Kaeo,-35.1,173.78,61.0,94,100,1.01,NZ,1587338659
Karratha,-20.74,116.85,83.82,61,97,7.52,AU,1587338895
Todos Santos,23.45,-110.22,82.0,71,0,5.99,MX,1587338925
Fairbanks,64.84,-147.72,48.0,93,75,3.36,US,1587338804
Salalah,17.02,54.09,82.4,69,40,5.82,OM,1587338635
Forsytheganj,52.63,29.73,33.22,87,7,8.48,BY,1587338925
Tacarigua,10.09,-67.92,77.2,65,53,3.51,VE,1587338926
Kaitangata,-46.28,169.85,57.99,42,52,14.0,NZ,1587338926
Revda,56.8,59.93,32.0,84,26,2.48,RU,1587338926
Ostrovnoy,68.05,39.51,25.7,97,74,7.67,RU,1587338897
Raychikhinsk,49.78,129.41,33.21,83,100,9.4,RU,1587338927
Sungai Penuh,-2.08,101.38,66.63,72,45,2.64,ID,1587338927
Yenagoa,4.92,6.26,75.58,90,95,1.5,NG,1587338927
Dwārka,22.24,68.97,80.15,81,29,11.23,IN,1587338927
Petropavlovsk-Kamchatskiy,53.05,158.65,33.8,26,21,15.66,RU,1587338928
Luanda,-8.84,13.23,80.6,88,75,5.82,AO,1587338928
Pochutla,15.74,-96.47,86.0,66,40,17.22,MX,1587338925
Hobyo,5.35,48.53,84.02,74,100,9.66,SO,1587338902
Harlingen,26.19,-97.7,98.6,27,1,12.75,US,1587338929
Touros,-5.2,-35.46,78.8,88,20,3.36,BR,1587338929
Gaoua,10.3,-3.25,85.08,48,80,3.62,BF,1587338930
Codrington,-38.27,141.97,60.48,60,62,23.73,AU,1587338843
Innisfail,-17.53,146.03,80.01,69,26,1.99,AU,1587338813
Livingston,55.9,-3.52,41.0,86,0,4.7,GB,1587338853
Belmonte,-15.86,-38.88,77.0,73,90,6.93,BR,1587338930
Coquimbo,-29.95,-71.34,59.0,93,90,3.36,CL,1587338775
Lac du Bonnet,50.25,-96.06,48.0,44,100,10.0,CA,1587338931
Bud,39.45,-86.18,59.0,51,90,5.82,US,1587338931
Mt. Pleasant,32.79,-79.86,66.0,100,40,11.83,US,1587338932
Tiznit Province,29.58,-9.5,54.79,71,78,9.51,MA,1587338932
Lata,40.16,-8.33,54.0,93,56,3.0,PT,1587338932
Lamar,33.67,-95.58,62.6,100,90,4.7,US,1587338932
Obra,24.42,82.98,79.81,20,99,3.09,IN,1587338932
Tabou,4.42,-7.35,80.91,85,99,7.02,CI,1587338933
Coyhaique,-45.58,-72.07,41.0,93,40,8.05,CL,1587338933
Portland,45.52,-122.68,64.99,48,20,8.05,US,1587338280
Toora-Khem,52.47,96.11,34.2,54,0,2.37,RU,1587338933
Borogontsy,62.67,131.17,17.08,83,12,2.86,RU,1587338906
Assiut,27.18,31.18,64.4,52,0,9.17,EG,1587338934
Forio,40.73,13.86,64.99,67,100,1.99,IT,1587338934
Kulhudhuffushi,6.62,73.07,86.32,69,36,8.55,MV,1587338934
Hornepayne,49.21,-84.77,23.4,92,99,4.25,CA,1587338934
Husavik,66.04,-17.34,46.4,70,20,31.09,IS,1587338814
Simimbaan,17.12,121.58,80.83,78,100,3.06,PH,1587338935
Anzio,41.49,12.62,61.0,94,100,3.0,IT,1587338935
Mayor Pablo Lagerenza,-19.93,-60.77,76.39,49,0,4.61,PY,1587338935
Ribeira Grande,38.52,-28.7,56.68,63,7,12.53,PT,1587338936
Ekenäs,59.97,23.43,43.0,76,52,1.01,FI,1587338936
Maniitsoq,65.42,-52.9,29.53,94,100,36.17,GL,1587338936
Adrar,20.5,-10.07,75.76,18,0,6.55,MR,1587338858
Sibolga,1.74,98.78,76.59,78,44,3.65,ID,1587338936
Homer,59.64,-151.55,53.6,58,75,12.75,US,1587338937
Āmol,36.47,52.35,55.6,72,0,2.73,IR,1587338937
Ambulu,-8.35,113.61,80.49,73,100,3.49,ID,1587338937
Dunedin,-45.87,170.5,59.0,35,46,7.0,NZ,1587338937
Hualmay,-11.1,-77.61,70.61,78,21,8.08,PE,1587338638
Plaridel,14.89,120.86,86.0,66,20,4.7,PH,1587338938
Flinders,-34.58,150.86,64.0,61,100,3.0,AU,1587338938
Kathu,7.92,98.33,78.8,88,20,2.24,TH,1587338938
Fort Nelson,58.81,-122.7,62.6,33,75,8.05,CA,1587338939
Tālcher,20.95,85.22,74.3,75,32,0.74,IN,1587338939
Carnarvon,-24.87,113.63,71.6,83,49,11.41,AU,1587338939
Chippewa Falls,44.94,-91.39,48.99,21,1,11.41,US,1587338939
Malia,35.28,25.47,57.99,81,0,6.93,GR,1587338940
Roald,62.58,6.13,41.0,93,0,10.29,NO,1587338940
Severo-Kuril'sk,50.68,156.12,30.97,91,73,9.89,RU,1587338940
Tambovka,50.1,128.05,24.8,92,90,17.9,RU,1587338940
Olinda,-8.01,-34.86,82.4,78,40,6.93,BR,1587338941
Rincon,32.3,-81.24,62.6,93,90,6.93,US,1587338941
Batemans Bay,-35.72,150.18,62.01,59,100,10.49,AU,1587338918
Vanimo,-2.67,141.3,82.74,79,100,1.43,PG,1587338656
Beni,0.5,29.47,62.15,72,69,1.72,CD,1587338942
Intipucá,13.2,-88.05,84.04,64,0,12.06,SV,1587338942
Wawa,9.9,4.42,83.21,62,90,11.21,NG,1587338942
Mackay,-21.15,149.2,80.01,88,90,6.93,AU,1587338942
Warrnambool,-38.38,142.48,61.0,78,74,24.65,AU,1587338942
Inhambane,-23.86,35.38,73.2,83,14,10.02,MZ,1587338943
Kruisfontein,-34.0,24.73,67.21,49,20,4.18,ZA,1587338839
Baykit,61.67,96.37,26.91,90,1,1.86,RU,1587338943
Port Macquarie,-31.43,152.92,66.0,82,40,3.36,AU,1587338943
Lahuachaca,-17.37,-67.67,47.34,23,29,7.2,BO,1587338943
Kuminskiy,58.67,66.57,35.04,84,0,5.01,RU,1587338944
Manzanillo,20.34,-77.12,80.04,76,15,4.81,CU,1587338733
San Rafael del Sur,11.85,-86.44,93.2,38,20,11.41,NI,1587338944
Laguna,38.42,-121.42,71.01,48,1,6.93,US,1587338903
Makakilo City,21.35,-158.09,82.4,58,1,10.29,US,1587338663
Punto Fijo,11.7,-70.2,79.57,78,30,25.52,VE,1587338945
Arcata,40.87,-124.08,57.0,71,1,13.87,US,1587338742
Sambava,-14.27,50.17,73.58,88,50,7.9,MG,1587338945
Kamennomostskiy,44.3,40.19,46.6,46,64,5.77,RU,1587338946
Bandarbeyla,9.49,50.81,81.73,68,79,3.11,SO,1587338946
Khovd,48.01,91.64,37.11,36,0,0.54,MN,1587338946
Kisangani,0.52,25.2,71.02,80,99,1.19,CD,1587338946
Korfovskiy,48.22,135.06,50.0,43,100,8.95,RU,1587338947
Ngunguru,-35.62,174.5,61.0,97,99,1.99,NZ,1587338947
Casper,42.87,-106.31,52.0,40,20,11.41,US,1587338947
Faya,18.39,42.45,64.4,72,89,3.51,SA,1587338947
Port Keats,-14.25,129.55,85.42,65,67,3.96,AU,1587338947
Piaçabuçu,-10.41,-36.43,79.59,83,15,8.61,BR,1587338948
Lillooet,50.69,-121.94,66.2,37,40,20.8,CA,1587338948
Iguape,-24.71,-47.56,67.91,83,7,5.19,BR,1587338948
Deputatsky,69.3,139.9,6.67,87,60,6.04,RU,1587338651
Otradnoye,59.78,30.82,37.4,93,70,4.47,RU,1587338949
Narasannapeta,18.42,84.05,78.62,79,47,6.06,IN,1587338949
East London,-33.02,27.91,76.21,54,0,13.35,ZA,1587338949
Caravelas,-17.71,-39.25,76.08,76,78,15.39,BR,1587338950
Eydhafushi,5.1,73.07,85.51,74,48,8.32,MV,1587338950
Pandan Niog,6.23,120.56,83.79,74,98,3.76,PH,1587338950
Manta,-0.95,-80.73,82.4,61,40,10.29,EC,1587338950
San Quintín,30.48,-115.95,62.33,66,87,18.21,MX,1587338869
Tura,25.52,90.22,68.61,85,26,1.66,IN,1587338951
Mareeba,-17.0,145.43,82.99,85,53,2.15,AU,1587338951
Ayan,56.45,138.17,22.55,93,100,14.2,RU,1587338914
Shaunavon,49.65,-108.42,51.46,30,87,14.61,CA,1587338952
Tuatapere,-46.13,167.68,54.0,72,35,5.99,NZ,1587338952
Sochaczew,52.23,20.24,41.0,99,23,6.67,PL,1587338952
Jinchang,38.5,102.17,40.86,27,99,11.9,CN,1587338952
Bhisho,-32.85,27.44,76.32,35,1,9.93,ZA,1587338953
Kununurra,-15.77,128.73,80.6,74,72,4.7,AU,1587338803
Tancheng,27.44,115.5,65.61,72,0,2.06,CN,1587338953
Marsh Harbour,26.54,-77.06,80.15,78,42,12.24,BS,1587338953
Lamont,35.26,-118.91,73.0,45,89,4.0,US,1587338954
Bogale,16.28,95.4,74.26,90,0,2.82,MM,1587338954
Strezhevoy,60.73,77.59,37.4,100,90,2.24,RU,1587338954
Bira,49.0,132.47,50.72,48,100,8.99,RU,1587338954
Velyka Oleksandrivka,47.32,33.3,46.76,68,100,6.58,UA,1587338955
Los Llanos de Aridane,28.66,-17.92,64.4,72,20,10.29,ES,1587338862
Nyuksenitsa,60.41,44.24,27.73,96,0,2.1,RU,1587338955
Ahipara,-35.17,173.17,63.28,90,100,5.37,NZ,1587338801
Kudahuvadhoo,2.67,72.89,85.15,72,71,9.44,MV,1587338956
Serenje,-13.23,30.24,57.38,62,13,5.1,ZM,1587338956
The Valley,18.22,-63.06,81.0,74,20,8.05,AI,1587338805
Walvis Bay,-22.96,14.51,60.8,82,15,1.12,NA,1587338957
Shinuhayr,39.44,46.32,45.18,46,94,3.42,AM,1587338957
Bac Lieu,9.29,105.72,82.38,73,0,8.19,VN,1587338957
San Ramon,37.78,-121.98,68.0,52,1,12.75,US,1587338683
Plouzané,48.38,-4.62,51.8,81,94,6.93,FR,1587338958
Srednekolymsk,67.45,153.68,9.52,93,86,12.19,RU,1587338768
Kamenka,51.32,42.77,32.0,83,59,1.99,RU,1587338791
Acarí,-15.43,-74.62,72.28,61,20,2.95,PE,1587338959
Mayskiy,47.69,40.1,51.8,64,40,4.47,RU,1587338956
San-Pédro,4.75,-6.64,80.37,86,85,6.87,CI,1587338959
Lahaina,20.88,-156.68,82.4,57,1,5.82,US,1587338960
Galle,6.04,80.22,79.88,84,19,9.4,LK,1587338960
Miraflores,19.22,-98.81,78.8,31,90,12.75,MX,1587338960
Khoy,38.55,44.95,54.5,41,28,2.21,IR,1587338960
Alta Floresta,-9.88,-56.09,72.99,86,47,0.89,BR,1587338961
